"Year","Annual bituminous coal production USA: millions of net tons. 1920-1968"
"1920",569
"1921",416
"1922",422
"1923",565
"1924",484
"1925",520
"1926",573
"1927",518
"1928",501
"1929",505
"1930",468
"1931",382
"1932",310
"1933",334
"1934",359
"1935",372
"1936",439
"1937",446
"1938",349
"1939",395
"1940",461
"1941",511
"1942",583
"1943",590
"1944",620
"1945",578
"1946",534
"1947",631
"1948",600
"1949",438
"1950",516
"1951",534
"1952",467
"1953",457
"1954",392
"1955",467
"1956",500
"1957",493
"1958",410
"1959",412
"1960",416
"1961",403
"1962",422
"1963",459
"1964",467
"1965",512
"1966",534
"1967",552
"1968",545

Annual bituminous coal production USA: millions of net tons. 1920-1968

